event_name,event_trigger,phase,metric_mapped,properties_required,validation_rule,owner,status
workspace_created,Workspace successfully initialized,Discover,Acquisition,"workspace_id,user_id,segment,region,created_at",workspace_id not null and created_at within session,Data Eng,Approved
invite_sent,Invite email dispatched,Discover,Acquisition,"workspace_id,inviter_id,invitee_domain,sent_at",sent_at captured and domain normalized,Data Eng,Approved
teammate_joined,Invited teammate joins workspace,Define,Activation,"workspace_id,user_id,join_method,joined_at",deduplicated by workspace_id plus user_id,Data Eng,Approved
channel_created,Channel creation completed,Design,Activation,"workspace_id,channel_id,channel_type,created_at",channel_id unique and type in allowed enum,Data Eng,Approved
message_sent,Message posted in channel or DM,Design,North Star,"workspace_id,user_id,channel_id,message_type,sent_at",exclude bot system pings,Data Eng,Approved
integration_connected,Integration auth flow complete,Build,Engagement,"workspace_id,integration_name,connected_at,connection_type",integration_name mapped to approved taxonomy,Data Eng,Approved
notification_muted,User mutes channel notifications,Build,Churn Risk,"workspace_id,user_id,channel_id,muted_at",muted_at captured and channel_id valid,Data Eng,Approved
messages_sent_2000,Workspace crosses activation threshold,Launch,Activation,"workspace_id,threshold_value,crossed_at",fires once per workspace threshold crossing,Data Eng,Approved
workspace_upgraded_paid,Workspace payment plan upgraded,Launch,Revenue,"workspace_id,plan_from,plan_to,upgraded_at",plan_to in paid tiers,Data Eng,Approved
contract_expanded,Enterprise contract value increased,Optimize,Expansion,"account_id,workspace_id,delta_arr,effective_date",delta_arr positive and finance-reconciled,Finance Ops,Approved
